PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS08
4-character ID, AC09
Station name, KayakIsl__AK2007
Begin Date, 2007-08-26
End Date, 2017-03-20
Release Date, 2017-03-22
Source file, AC09.pbo.igs08.pos
Offset from source file, 74.95 mm North, -84.06 mm East, 5.05 mm Vertical
Reference position, 59.8684791497 North Latitude, -144.5238475695 East Longitude, 368.88533 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-08-26,0.00, 0.00, 0.00, 1.57, 1.17, 4.72, repro,
2007-08-27,1.49, -0.79, 1.65, 1.54, 1.14, 4.67, repro,
2007-08-28,2.40, -0.37, 3.23, 1.59, 1.17, 4.85, repro,
2007-08-29,0.57, -0.22, 3.81, 1.5, 1.1, 4.55, repro,
2007-08-30,0.84, 1.07, 2.02, 1.51, 1.12, 4.55, repro,
2007-08-31,1.02, -0.43, 0.27, 1.36, 1.03, 4.15, repro,
2007-09-01,1.38, -0.43, 0.49, 1.3, 0.98, 3.97, repro,
2007-09-02,1.49, -0.70, 0.11, 1.32, 0.99, 4.03, repro,
2007-09-03,-0.53, 0.10, -0.25, 1.34, 1.01, 4.08, repro,
2007-09-04,0.97, -2.63, 0.78, 1.7, 1.27, 5.14, repro,
2007-09-05,0.58, -0.91, 7.06, 1.78, 1.31, 5.46, repro,
2007-09-06,0.87, 0.16, 1.57, 1.46, 1.09, 4.44, repro,
2007-09-07,0.82, 0.13, -5.57, 1.49, 1.11, 4.55, repro,
2007-09-08,1.12, -0.21, -1.22, 1.68, 1.24, 5.11, repro,
2007-09-09,1.71, 0.45, -6.90, 1.7, 1.25, 5.18, repro,
2007-09-10,1.04, -0.75, -4.02, 1.96, 1.43, 6.02, repro,
2007-09-11,1.22, -0.53, -5.37, 1.44, 1.08, 4.42, repro,
2007-09-12,1.87, -1.68, -8.27, 2.29, 1.63, 7.11, repro,
2007-09-13,2.57, -0.26, -6.32, 1.76, 1.29, 5.42, repro,
2007-09-14,1.30, -0.82, -0.26, 1.66, 1.21, 5.09, repro,
2007-09-15,0.60, -3.18, -1.06, 1.49, 1.15, 4.6, repro,
2007-09-16,1.98, -2.33, -1.14, 1.84, 1.36, 5.7, repro,
2007-09-17,2.47, -2.05, -4.35, 1.39, 1.05, 4.29, repro,
2007-09-18,2.21, -2.57, -9.47, 1.4, 1.07, 4.27, repro,
2007-09-19,2.16, -2.39, -3.48, 1.66, 1.22, 5.03, repro,
2007-09-20,2.51, -2.10, 2.22, 1.38, 1.02, 4.18, repro,
2007-09-21,2.01, -1.15, 3.57, 1.44, 1.07, 4.34, repro,
2007-09-22,2.66, -2.81, 2.96, 1.49, 1.1, 4.5, repro,
2007-09-23,4.58, -3.78, 1.49, 1.75, 1.27, 5.35, repro,
2007-09-24,4.63, -2.54, 2.54, 1.48, 1.09, 4.51, repro,
2007-09-25,3.35, -2.38, -1.75, 1.55, 1.14, 4.74, repro,
2007-09-26,3.41, -3.01, 3.25, 1.64, 1.21, 4.94, repro,
2007-09-27,3.43, -1.75, -1.18, 1.38, 1.02, 4.19, repro,
2007-09-28,4.17, -4.06, 6.25, 1.58, 1.16, 4.8, repro,
2007-09-29,4.87, -5.54, 2.50, 1.45, 1.07, 4.43, repro,
2007-09-30,3.52, -3.53, 0.78, 1.38, 1.02, 4.23, repro,
2007-10-01,3.85, -3.65, 2.46, 1.51, 1.12, 4.59, repro,
2007-10-02,2.25, -3.61, 1.59, 1.42, 1.04, 4.28, repro,
2007-10-03,3.20, -4.91, -4.47, 1.41, 1.05, 4.32, repro,
2007-10-04,3.85, -3.81, 2.26, 1.43, 1.06, 4.39, repro,
2007-10-05,3.71, -4.33, 9.97, 1.51, 1.11, 4.6, repro,
2007-10-06,3.89, -3.89, 1.28, 1.62, 1.19, 4.93, repro,
2007-10-07,4.18, -4.77, -1.20, 1.57, 1.18, 4.8, repro,
2007-10-08,5.49, -4.23, 1.01, 1.61, 1.15, 4.85, repro,
2007-10-09,5.06, -3.57, -2.43, 1.41, 1.07, 4.3, repro,
2007-10-10,4.27, -3.30, 2.41, 1.5, 1.1, 4.54, repro,
2007-10-11,5.00, -4.61, 3.62, 1.59, 1.15, 4.82, repro,
2007-10-12,6.57, -6.26, 1.91, 1.4, 1.02, 4.26, repro,
2007-10-13,5.69, -6.32, 5.73, 1.53, 1.11, 4.66, repro,
2007-10-14,5.16, -5.27, 4.21, 1.5, 1.09, 4.56, repro,
2007-10-15,5.29, -5.20, 2.13, 1.6, 1.16, 4.87, repro,
2007-10-16,4.68, -5.34, 5.79, 1.63, 1.17, 4.97, repro,
2007-10-17,4.95, -5.41, 6.49, 1.58, 1.15, 4.76, repro,
2007-10-18,5.84, -5.87, 5.22, 1.5, 1.09, 4.55, repro,
2007-10-19,5.74, -5.76, 8.93, 1.39, 1.02, 4.24, repro,
2007-10-20,6.19, -5.54, 2.70, 1.57, 1.14, 4.71, repro,
2007-10-21,6.58, -5.74, -1.09, 1.6, 1.15, 4.81, repro,
2007-10-22,7.30, -6.09, 0.01, 1.79, 1.29, 5.42, repro,
2007-10-23,8.01, -5.55, -1.13, 1.69, 1.22, 5.02, repro,
2007-10-24,6.67, -5.46, 0.73, 1.52, 1.11, 4.53, repro,
2007-10-25,6.80, -5.86, -3.17, 1.57, 1.12, 4.67, repro,
2007-10-26,7.15, -6.66, 2.25, 1.79, 1.29, 5.5, repro,
2007-10-27,7.22, -6.85, -6.42, 1.57, 1.13, 4.69, repro,
2007-10-28,7.95, -6.96, -2.27, 1.77, 1.27, 5.22, repro,
2007-10-29,7.64, -7.34, -2.46, 1.51, 1.09, 4.5, repro,
2007-10-30,7.16, -8.59, 6.22, 1.64, 1.18, 4.87, repro,
2007-10-31,6.36, -6.87, 7.02, 1.61, 1.15, 4.8, repro,
2007-11-01,7.42, -8.63, 6.02, 1.77, 1.27, 5.33, repro,
